LATITUDE;LONGITUDE;ALTITUDE;GEOMETRY;NAME_DER_SCHULE;ANSCHRIFT;BESCHREIBUNG_(STADTTEIL-SCHULFORM-SCHULTRAEGER)
51.170480;6.836526;;point;Adolf-Klarenbach-Schule;Walther-Rathenau-Straße 15 - 40589 - Düsseldorf -;Holthausen - Grundschule - Stadt Düsseldorf
51.243244;6.778922;;point;Albert-Einstein-Gymnasium;Zietenstraße 50 - 40476 - Düsseldorf -;Golzheim - Gymnasium - Sonstiger Träger
51.21412;6.77307;;point;Albrecht-Dürer-Schule;Fürstenwall 100 - 40217 - Düsseldorf -;Unterbilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.198302;6.788174;;point;Alfred-Adler-Schule - Schule für Kranke im Zentrum für Kinderheilkunde der Universitätsklinikum Düsseldorf;Moorenstraße 5 - 40225 - Düsseldorf -;Bilk - Schule für Kranke - Stadt Düsseldorf
51.145507;6.902646;;point;Alfred-Herrhausen-Schule;Carl-Friedrich-Goerdeler-Straße 21 - 40595 - Düsseldorf -;Garath - Förderschule - Stadt Düsseldorf
51.230357;6.844815;;point;Aloys-Odenthal-Schule;Diepenstraße 24 - 40625 - Düsseldorf -;Gerresheim - Grundschule - Stadt Düsseldorf
51.230550;6.80886;;point;Anne-Frank-Realschule;Ackerstraße 174 - 40233 - Düsseldorf -;Flingern-Nord - Realschule - Stadt Düsseldorf
51.15818;6.87793;;point;Annette-von-Droste-Hülshoff-Gymnasium;Brucknerstraße 19 - 40593 - Düsseldorf -;Benrath - Gymnasium - Stadt Düsseldorf
51.21263;6.84045;;point;Astrid-Lindgren-Schule;Leuthenstraße 50 - 40231 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.20314;6.81137;;point;Benzenberg-Realschule;Siegburger Straße 38 - 40591 - Düsseldorf -;Oberbilk - Realschule - Stadt Düsseldorf
51.208113;6.765409;;point;Berufskolleg Bachstraße;Bachstraße 8 - 40223 - Düsseldorf -;Bilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.272975;6.766262;;point;Berufskolleg f. Informations- Kommunikations- und Automatisierungstechnik - Sek. II;Klaus-Bungert-Straße 6 - 40468 - Düsseldorf -;Unterrath - Berufs- Weiterbildungskolleg - Sonstiger Träger
51.301577;6.744564;;point;Berufskolleg Kaiserswerther Diakonie;Alte Landstraße 179 E - 40489 - Düsseldorf -;Kaiserswerth - Berufs- Weiterbildungskolleg - Sonstiger Träger
51.224792;6.796438;;point;Berufskolleg RheinRuhr;Ackerstraße 3 - 40233 - Düsseldorf -;Stadtmitte - Berufs- Weiterbildungskolleg - Sonstiger Träger
51.202578;6.766291;;point;Bonifatius-Schule;Fleher Straße 70 - 40223 - Düsseldorf -;Bilk - Grundschule - Stadt Düsseldorf
51.23442;6.81403;;point;Brehm-Schule;Karl-Müller-Straße 25 - 40237 - Düsseldorf -;Düsseltal - Grundschule - Stadt Düsseldorf
51.237985;6.751320;;point;Carl-Benz-Realschule Oberkassel;Lewitstraße 2 - 40547 - Düsseldorf -;Niederkassel - Realschule - Stadt Düsseldorf
51.243734;6.817614;;point;Carl-Sonnenschein-Schule;Graf-Recke-Straße 153 - 40237 - Düsseldorf -;Düsseltal - Grundschule - Stadt Düsseldorf
51.23777;6.74925;;point;Cecilien-Gymnasium;Schorlemerstraße 99 - 40547 - Düsseldorf -;Niederkassel - Gymnasium - Stadt Düsseldorf
51.18612;6.82762;;point;Christophorus-Schule;Werstener Friedhofstraße 10 - 40591 - Düsseldorf -;Wersten - Grundschule - Stadt Düsseldorf
51.23533;6.74421;;point;Comenius-Gymnasium;Hansaallee 90 - 40547 - Düsseldorf -;Oberkassel - Gymnasium - Stadt Düsseldorf
51.220944;6.792266;;point;DAA-Wirtschaftsakademie - Berufskolleg f. Wirtschaft - Schule d. Sek. II und Fachschule - Priv. staatl. gen. Ersatzschule;Konrad-Adenauer-Platz 9 - 40210 - Düsseldorf -;Stadtmitte - Berufs- Weiterbildungskolleg - Sonstiger Träger
51.197221;6.851326;;point;Dieter-Forte-Gesamtschule;Heidelberger Straße 75 - 40229 - Düsseldorf -;Eller - Gesamtschule - Stadt Düsseldorf
51.22993;6.75776;;point;Don-Bosco-Montessori-Schule;Salierstraße 37 - 40545 - Düsseldorf -;Oberkassel - Grundschule - Stadt Düsseldorf
51.20988;6.77938;;point;Dumont-Lindemann-Schule;Weberstraße 3 - 40215 - Düsseldorf -;Friedrichstadt - Hauptschule - Stadt Düsseldorf
51.200855;6.809961;;point;Elly-Heuss-Knapp-Schule;Siegburger Straße 137 - 40591 - Düsseldorf -;Oberbilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.26789;6.76918;;point;Elsa-Brandström-Schule;An der Golzheimer Heide 120 - 40468 - Düsseldorf -;Unterrath - Grundschule - Stadt Düsseldorf
51.299195;6.733748;;point;Erzbischöfliches Suitbertus-Gymnasium - Staatl. gen. Priv. Gymnasium d. Erzbistums Köln für Jungen und Mädchen - Sek. I und II;An Sankt Swidbert 51 - 40489 - Düsseldorf -;Kaiserswerth - Gymnasium - Sonstiger Träger
51.22765;6.86159;;point;Ferdinand-Heye-Schule;Heyestraße 91 - 40625 - Düsseldorf -;Gerresheim - Grundschule - Stadt Düsseldorf
51.21638;6.86241;;point;Franz-Boehm-Schule;Kamper Weg 291 - 40627 - Düsseldorf -;Vennhausen - Grundschule - Stadt Düsseldorf
51.209869;6.787486;;point;Franz-Jürgens-Berufskolleg;Färberstraße 34 - 40223 - Düsseldorf -;Bilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.229991;6.843103;;point;Franz-Marc-Schule;Lohbachweg 18 - 40625 - Düsseldorf -;Gerresheim - Förderschule - Stadt Düsseldorf
51.32677;6.73718;;point;Franz-Vaahsen-Schule;Grenzweg 12 - 40489 - Düsseldorf -;Wittlaer - Grundschule - Stadt Düsseldorf
51.1836;6.86241;;point;Freie Christliche Gesamtschule Düsseldorf;Fürstenberger Straße 10 - 40599 - Düsseldorf -;Hassels - Gesamtschule - Sonstiger Träger
51.231488;6.846777;;Point;Freie Waldorfschule - Rudolf Steiner Schule;Diepenstraße 15 - 40625 - Düsseldorf -;Gerresheim - Grundschule - Sonstiger Träger
51.231488;6.846777;;Point;Freie Waldorfschule - Rudolf Steiner Schule;Diepenstraße 15 - 40625 - Düsseldorf -;Gerresheim - Gymnasium - Sonstiger Träger
51.176184;6.863951;;point;Freies Christliches Gymnasium Düsseldorf;Buchenstraße 1 - 40599 - Düsseldorf -;Reisholz - Gymnasium - Sonstiger Träger
51.20925;6.78731;;point;Freiherr-vom-Stein-Realschule;Färberstraße 40 - 40223 - Düsseldorf -;Bilk - Realschule - Stadt Düsseldorf
51.25979;6.81356;;point;Friedrich-Rückert-Gymnasium;Rückertstraße 6 - 40470 - Düsseldorf -;Rath - Gymnasium - Stadt Düsseldorf
51.22901;6.75739;;point;Friedrich-von-Bodelschwingh-Schule;Cimbernstraße 24 - 40545 - Düsseldorf -;Oberkassel - Grundschule - Stadt Düsseldorf
51.32858;6.78576;;point;Friedrich-von-Spee-Schule;Am Litzgraben 28A - 40489 - Düsseldorf -;Angermund - Grundschule - Stadt Düsseldorf
51.14705;6.90101;;point;Fritz-Henkel-Schule;Stettiner Straße 98 - 40595 - Düsseldorf -;Garath - Hauptschule - Stadt Düsseldorf
51.253931;6.761073;;point;Georg-Büchner-Gymnasium;Felix-Klein-Straße 3 - 40474 - Düsseldorf -;Golzheim - Gymnasium - Stadt Düsseldorf
51.21638;6.86241;;point;Georg-Schulhoff-Realschule;Kamper Weg 291 - 40627 - Düsseldorf -;Vennhausen - Realschule - Stadt Düsseldorf
51.2649451;6.75161;;point;Gerhard-Tersteegen-Schule;Beckbuschstraße 2 - 40474 - Düsseldorf -;Stockum - Grundschule - Stadt Düsseldorf
51.14705;6.90101;;point;Gesamtschule Stettiner Straße;Stettiner Straße 98 - 40595 - Düsseldorf -;Garath - Gesamtschule - Stadt Düsseldorf
51.204852;6.791930;;point;Geschwister-Scholl-Gymnasium;Redinghovenstraße 41 - 40225 - Düsseldorf -;Bilk - Gymnasium - Stadt Düsseldorf
51.14278;6.905080;;point;GGS Adam-Stegerwald-Straße;Adam-Stegerwald-Straße 14 - 40595 - Düsseldorf -;Garath - Grundschule - Stadt Düsseldorf
51.17975;6.86648;;point;GGS Am Köhnen;Am Köhnen 73 - 40599 - Düsseldorf -;Hassels - Grundschule - Stadt Düsseldorf
51.20088;6.81968;;point;GGS Bingener Weg;Bingener Weg 10 - 40229 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.1913399;6.85915;;point;GGS Deutzer Straße;Deutzer Straße 102 - 40229 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.22858;6.81646;;point;GGS Flurstraße;Flurstraße 59 - 40235 - Düsseldorf -;Flingern-Nord - Grundschule - Stadt Düsseldorf
51.2156;6.78854;;point;GGS Helmholtzstraße;Helmholtzstraße 16 - 40215 - Düsseldorf -;Friedrichstadt - Grundschule - Stadt Düsseldorf
51.3022599;6.73815;;point;GGS Kaiserswerth;Fliednerstraße 32 - 40489 - Düsseldorf -;Kaiserswerth - Grundschule - Stadt Düsseldorf
51.2674;6.87515;;point;GGS Knittkuhl;Am Mergelsberg 1 - 40629 - Düsseldorf -;Knittkuhl - Grundschule - Stadt Düsseldorf
51.21559;6.76951;;point;GGS Konkordiastraße;Konkordiastraße 26 - 40219 - Düsseldorf -;Unterbilk - Grundschule - Stadt Düsseldorf
51.28501;6.79672;;point;GGS Krahnenburgstraße;Krahnenburgstraße 15 - 40472 - Düsseldorf -;Lichtenbroich - Grundschule - Stadt Düsseldorf
51.21017;6.76927;;point;GGS Kronprinzenstraße;Kronprinzenstraße 107 - 40217 - Düsseldorf -;Unterbilk - Grundschule - Stadt Düsseldorf
